index,attraction,location,blurb,url,description
0,Ta Prohm,"Siem Reap, Cambodia",A battle between nature and architecture in the Cambodian jungle.,https://www.atlasobscura.com/places/ta-prohm,"Had Ta Prohm been diligently maintained from its construction in 1186 to the present day, it would be just a footnote to the larger Angkor Wat temple. But while Ta Prohm lay forgotten and neglected by men, the Cambodian jungle wasted no time in devouring it. Silk-cotton and strangler fig trees took root in the loosened stones of the temple, which was built entirely without mortar. Their roots wound through the structure, creating an astonishing merger of nature and architecture. Built at the height of the Khmer Empire by Jayavarman VII as a Buddhist monastery and center of learning, Ta Prohm (known as Rajavihara back then) has a traditional Khmer structure consisting of a series of gradually smaller enclosures, the largest of which is about 1000 by 650 meters. The sanctuary is centered around the huge, elevated stone face of Prajnaparamita, the personification of wisdom, whose features were modeled after those of the king’s mother. When Angkor was rediscovered in the early 20th century by French archaeologists, all of the temples had become overgrown–but none so spectacularly as Ta Prohm. Nevertheless, as they excavated and restored the other temples, the archaeologists had to make sure that the giant tree roots enveloping Ta Prohm would not further deteriorate the structure or make it dangerous to visit. Though Ta Prohm may look like nature unfettered, the appearance of neglect is in fact fastidiously maintained. Ta Prohm’s popularity has soared in recent years along with the rest of the Angkor complex, but especially because of its appearance in the movie Lara Croft: Tomb Raider. Be sure to check out the controversial Dinosaur of Ta Prohm–a corner of the Ta Prohm temple with a strange story of its own. Another contributor to the rising popularity of Ta Prohm was the inclusion on the UNESCO World Heritage List in 1992.  Flights into Siem Reap Airport are a short jump from Phnom Penh or Bangkok. The best months to visit the temple complex with smaller crowds is the wet season from May to October."
1,Bokor Hill Station,"Kampot Province, Cambodia",A former French military respite turned jungle tourism hotspot.,https://www.atlasobscura.com/places/bokor-hill-station,"One of the first things anyone notices during a visit to Cambodia, is the unbearable heat. Sweltering and oppressive temperatures and humidity beat down on travelers wading through the dense tropical jungles of the Southern region. Incidentally, when a larger and more aggressive group of travelers, the French military, made their way through the country, they also found the weather brutal and unforgiving. As the unfamiliar temperatures began killing off French troops, the occupying European power needed to create artificial respite. Their answer to the tropical problem was Bokor Hill Station, a small resort town for French soldiers in the region. Construction finished in the early 1920s, and the result was jungle chic. Instead of building a small outpost to keep soldiers cool and dry, the French opted for opulence, and a small elegant city was born. Bokor Hill was built with the basic amenities of a post office and church. It was also featured the over-the-top Bokor Hill Hotel and Casino, which stands as a monument to French occupation in Cambodia. When civil war broke out in the 1940s, the French headed back to Paris, leaving the station abandoned and open for use by various military regimes including the Vietnamese and Khmer Rouge. Continuous war throughout the 20th century left the station gutted and eerily decaying in the center of Phnum Bokor National Park. Only one completely ruined road leading to the relic still exists, and is a bumpy ride up more than 3,500 feet to the station. Recently, a private investment group has outlined a plan to rebuild the road and restore the area, creating a larger Bokor Hill city complete with a casino and golf course, making Bokor once again a stop for invading foreigners in the southern jungles of Cambodia. The project is now well under way, as can be seen in some of the photos. The red lichen on the walls has been covered with a layer of thin concrete making the building look newer, even at the cost of the old charm. The casino has been built, though the locals consider it an eyesore. Behind the temple is Wat Sampov Pram, Temple of the Five Ships, where rock formations look a great deal like sailing ships when the fog the normally enshrouds the mountain is clear enough to let you see them and the spectacular view of the valley below. Farther down the road, but still on the mountaintop, is Popkvil, Waterfall in the Clouds. it is a popular destination and worth the short ride from the old casino. Between the two, along a back road, is an area called 500 rice fields; a natural area that looks a lot like the Cambodian countryside in miniature. Across the street and through the guard station is an area teaming with rare carnivorous plants; nepenthes or pitcher plants. This area is perfect for their growth and hundreds can be found along the road. They have garnered a lot of attention in recent years because the young plants can look a great deal like something you might buy in an adult toy store.  Some of these plants can be found in the 500 fields area, but if you are a photographer, it is worth it to pay the few bucks to get into the area where the bigger plants can be found. Update December 2018: The reconstruction is complete and it is no longer derelict.  Around 40 km driving from Kampot."
2,Kbal Spean,"Siem Reap, Cambodia",This Cambodian riverbed is covered in ancient Hindu carvings both above and below the waters.,https://www.atlasobscura.com/places/kbal-spean,"Tucked away in the jungles of Angkor, Cambodia is a small river that runs over a series of elaborate carvings that have been etched both along the shore line and into the very stone of the riverbed itself. Created some time around the 11th and 12th century, the carvings at in the Kbal Spean River look like something right out of an Indiana Jones production diary. The designs range from fields of low circles that almost look like holy cobble stones to ornate images of Hindu deities carved in relief on the rocks. Not all of the carvings seem to have originated in the same era, having been added to down the millennia, but today, they all look like they are of a piece. The site is also known as the “Valley of a 1000 Lingas.” This common name is in reference to the low carved circles that were once mound-shaped representations of the Hindu god Shiva, called “lingas.” In contrast there are also a number (though not so many) of designs symbolizing the yoni, a symbol for the Hindu goddess Shakti. The site looks not unlike something that would have come out of a Hollywood storyboard, all fearsome gods and cryptic symbols, barely hidden beneath the jungle undergrowth. Whether you are visiting for a sense of adventure, archaeology, or simple history, the Kbal Spean carvings won’t let you down.  31 miles (50 kilometers) northeast of Siem Reap. From the parking lot it's a beautiful mile walk in to the stretch with the carvings."
3,Dinosaur of Ta Prohm,"Siem Reap, Cambodia","Hoax, mistake, or evidence of dinosaurs in human times?",https://www.atlasobscura.com/places/dinosaur-angkor-wat,"Hordes of tourists descend on Cambodia every year for the sole purpose of visiting the temples at Angkor. This magnificent series of temples, carved out of the jungle in the 12th and 13th centuries by Khmer devaraja, or god-kings, is still the largest group of religious complexes ever created. Yet most visitors miss one of its more intriguing mysteries. At Ta Prohm, near Angkor Wat and built by the epic builder king Jayavarman VII in the late 1100s, a small carving on a crumbling temple wall seems to show a dinosaur - a stegosaurus, to be exact. The hand-sized carving can be found in a quiet corner of the complex, a stone temple engulfed in jungle vegetation where the roots of centuries-old banyan trees snake through broken walls. After parts of Tomb Raider were shot here, the temple got a PR lift and has become one of the site’s top tourist draws. But many of the package tours are still ushered in and out without spotting the enigmatic dinosaur carving. Several different theories have been advanced to explain its presence. Some maintain it’s a recently-carved hoax, while others say that the ancient Khmers could have unearthed a fossil and figured out what kind of creature it belonged to. One theory has it that the image actually shows a cow or rhino with a palm tree in the background - the palm’s fronds being easily mistaken for the fin-like blades running down a stegosaurus’s back. Or maybe the carving is evidence that dinosaurs really did live on until much later than previously thought. (Creationists would certainly like to believe so.) Perhaps here in the humid, ancient jungles of Southeast Asia, where the climate has remained largely unchanged since the dinosaurs’ days, giant reptiles lived on well into the human era - long enough to persist in the Khmer folk memory. If only these walls could talk, we might have a clue.  The carving is located in a corner of a courtyard in the Ta Prohm temple. Look to the left of the central exit."
4,Sambor Prei Kuk,"Prasat Sambour, Cambodia",More than 100 Hindu temples are slowly being swallowed by the forest.,https://www.atlasobscura.com/places/sambor-prei-kuk,"Gnarled trees wrap around the ruins that speckle this archaeological site. The centuries-old temples, many of which are capped with grass or shrouded with tree roots, are slowly being reclaimed by the forest. Sambor Prei Kuk consists of a fortified wall enclosing 150 Hindu buildings. An engraving on the main temple of this complex refers to King Isanavarman I, and it is accompanied by a date: September 13, 627. Whether or not this is the exact date when the construction of the temple was completed, it still means that Sambor Prei Kuk predates Angkor Wat by several centuries. Sambor Prei Kuk was the capital of the Chenla Empire (600 to 800). The label of “empire” should be qualified, as it stems from accounts by Chinese emissaries, but it probably referred to a cluster of semi-independent chiefdoms co-existing in a peaceful federation. The site is divided into three groups. Group N (North) and S (South) are both from the seventh century and glorify Shiva. Prasat Sambor (the main temple) belongs to Group N. Group C (Central) consists of more recent temples from the ninth century, including Prasat Boram, a temple famed for its lion sculptures. There are some obvious architectural similarities between Sambor Prei Kuk and the temple found on Angkor Wat grounds. The outstanding lintels, pediments, and columns of Sambor Prei Kuk are precursors of the Angkor style. There are, however, some aspects that are distinctive to Sambor Prei Kuk, such as the 10n octagonal towers, which are unique in Southeast Asia. Of the 150 religious buildings, most are in ruins and barely recognizable, but it is a thrill to wander in the forest and trying to locate some of these buildings, which, at times, blend in seamlessly with the vegetation. As in other archaeological sites in Cambodia, the intrinsic value of these temples is only part of their attractiveness. The other part is the interplay of human-made structures and nature that stands simultaneously as a reminder of the reliance of these ancient buildings and the sobering thought that in the long run, nature will always have the upper hand. But though the archaeological site now feels like a tranquil forest escape, it hasn’t always been the peaceful spot it is today. In the 1970s, a contingent of the Khmer Rouge took refuge on the grounds of Sambor Prei Kuk, and, as a result, the United States bombed the site, damaging some temples. You can still see some of the dips in the ground that the bombs created. To make things worse, it seems that the Khmer Rouge also littered the grounds with mines, which weren’t removed until 2008.  Sambor Prei Kuk is an archaeological site about 19 miles (30 kilometers) west of provincial capital Kompong Thom. The site is open daily from 7 a.m. to 5 p.m. Caution should be exercised—though these grounds were cleared of all landmines in 2008, it's hard to know with absolute certainty that no mines have been left behind."
5,Phnom Penh Memorial Stupa,"Phnom Penh, Cambodia","5,000 skulls in memorial to those killed by the Khmer Rouge.",https://www.atlasobscura.com/places/phnom-penh-memorial-stupa,"After the Cambodian Civil War ended, the vicious rule of Pol Pot and the Khmer Rouge began. From 1975-1979, they killed 1.7 million people out of a population of 8 million. Many of those murdered were buried in mass graves in what has come to be dubbed the “killing fields.” In Phnom Penh at Choeung Ek, a memorial was erected to remember those who were killed at the hands of the Khmer Rouge. At the site, the remains of an estimated 10,000 people were found. The memorial was then constructed so as not to obscure the facts, but to show the grisly and honest truth. Designed in the style of a Buddhist stupa, the Choeung Ek memorial has glass sides, and is comprised of multiple layers of human skulls. Totaling 5,000 of those executed at the site, the skulls are a harsh reminder of a genocide that took place only 40 years ago. The memorial is particularly disturbing upon closer examination of the skulls, many of which bear marks of the trauma they suffered before their execution. Along with the stupa, Choeung Ek still has a number of pits that were used as mass graves, and some human bones can still be seen in the area. The Cambodian government encourages visitors to see the site, and never forget the atrocities committed during the Khmer Rouge regime. For more information on amazing ossuaries, charnels and skeletal remains around the world, visit Paul Koudounaris’ website Empire de la Mort, or purchase his definitive book  The Empire of Death: A Cultural History of Ossuaries and Charnel Houses."
6,Killing Caves of Phnom Sampeau,"Krong Battambang, Cambodia","Limestone caves in the Cambodian countryside, once the site of genocide, now a place of peaceful beauty.",https://www.atlasobscura.com/places/killing-caves-of-phnom-sampeau,"The Killing Caves of Phnom Sampeau (also known as Phnom Sampov) are a place of beauty, turned tragedy, turned beauty once more. The cave are located halfway up a mountain which is dotted with beautiful wats, statues, and lookout points over the village below. Macaque monkeys roam the mountainside, and millions of bats can be seen at dusk. Stairways snake up the mountain and back down again into limestone caves and canyons. One of these caves is the Killing Cave. From 1975 to 1979, 1.7 million Cambodians were killed at the hands of Pol Pot and his Khmer Rouge soldiers. These are the bones of doctors, teachers, men, women and children who were killed by the Khmer Rouge at this site. At the top of the cave is the natural skylight which the Khmer Rouge marched people to, lining them up, then bludgeoning them and letting their bodies fall into the darkness below. The site has now been turned into a memorial to those who lost their lives at this site. The descent into the cave is quite beautiful—the rock is covered in green vegetation and low-hanging vines. The cave is quite large inside, and a huge golden Buddha reclines in the center of the room. But at the bottom of the stairway sits a chicken-wire cage full of bones. The atrocities that took place in this beautiful spot suddenly become very present. To the right is another memorial of human remains, these encased in a glass box. Today a mix of mostly Cambodian tourists mills around the cave, and people sing and take pictures. It is a surprisingly jovial atmosphere considering the horror of what took place. But as many Cambodians will explain to you, joy is the best way to move past tragedy.  A hill 7 miles (11 km) southwest of Battambang"
7,Preah Vihear Temple,"Kantuot, Cambodia",This impressive clifftop temple was once at the center of an international custody dispute.,https://www.atlasobscura.com/places/preah-vihear-temple,"Sitting majestically atop a perilous cliff among the Dângrêk Mountains, the Preah Vihear Temple is a gem of Cambodian temple architecture, although for a long time, many fought for this jewel to belong in Thailand’s crown. A temple has existed on the site since the 9th century, but the elaborately detailed complex found here today dates back to around the 11th century. It was built by the Suryavarman kings who were replicating the glorious intent of the nearby temples at Angkor. While the temple buildings at Preah Vihear are not as glorious as those at Angkor, they were meant to represent the same holy pinnacle. The whole complex is set up in a long horizontal line along the edge of the cliff, comprised of multiple structures, each impressive in their own right. As the Dângrêk Mountains have borders belonging to both Cambodia and Thailand, the site’s ownership became an issue between the two countries when the temple was rediscovered in the early 20th century. Both sides wanted to own the ancient site and its rich trove of artifacts, and the dispute even went to The Hague. In 1962, the matter was finally settled when the international court decided that the temple belonged to Cambodia, a ruling that stands today.  Although open from the Cambodian side, the Thailand side is often blocked."
8,Phsar Thmei (Central Market),"Phnom Penh, Cambodia","One of the biggest markets in Asia, under one of the continent's largest domes.",https://www.atlasobscura.com/places/phsar-thmei-central-market,"Phsar Thmei, also known as Central Market (the name actually means “New Market”), is the largest market in the Cambodian capital of Phnom Penh, and was once said to be the most expansive in all of Asia. It also has the distinction of sitting under one of the largest domes on the continent. Before the completion of Phsar Thmei in 1937, the area on which the market now stands was occupied by a swamp fed by runoff water during the rainy season. For the French Protectorate of Cambodia, who was in charge of Phnom Penh at the time, having a swamp in the middle of their city was far from ideal. So they drained it and set about building a huge market, designed by Jean Desbois and supervised by French architect Louis Chauchon. At the time of its construction, Phsar Thmei was said to be the largest market in Asia. But despite its grandeur, it nonetheless had a troubled start. Flooding was a problem, perhaps unsurprisingly given its location in a favored gathering point for runoff water. Then came the Franco-Thai war (1940–1941), during which the market was bombed by Thai aircraft, causing extensive damage. It was closed temporarily and rebuilt after the end of World War II. It later fell into an undeniably shabby state, until the French Development Agency completed a $4.2 million renovation in 2011. It remains one of the largest domes in Asia, measuring 148 feet (45 meters) in diameter and 85 feet (26 meters) high. To say that the market is somewhat incongruous with the rest of central Phnom Penh would be an understatement. With its huge yellow dome and four extending “legs,” it looks—from the air at least—as if a Barbarella-esque Art Deco space robot planted itself in the middle of the city. Walk inside, however, and you’ll find yourself in a vast, cool, and always buzzing market under the towering central dome, with more stalls spreading along the four adjoining wings. Despite the often inflated prices, especially for visiting tourists, Phsar Thmei is the best place in the city for browsing. It’s packed full of all kinds of goods, from impressively intricate gold and silverware to souvenirs, antique coins, electronic goods, clothing (imported and traditional Cambodian), flowers, and an impressive array of dubious watches. And when hunger strikes, the market also has a colorful fresh produce section and plenty of food stalls selling classic local dishes. It’s the best place to escape from the heat, as it is naturally cool inside.  Phsar Thmei Market is located at Street 128 (Kampuchea Krom) in Phsar Thmei 1 Commune, Daun Penh District. It's open daily from 6.30 a.m. to 5.30 p.m. There's a taxi rank near the northwest corner of the market, and a bus stop near the southwest exit."
9,Well of Shadows,"Krong Battambang, Cambodia",A gruesome memorial for those lost in this area during the Khmer Rouge genocide.,https://www.atlasobscura.com/places/well-of-shadows,"The Well of Shadows is a memorial for those lost in this area during the Cambodian genocide at the hands of the Khmer Rouge. At the top, skulls of the dead are encased in a glass box—at the bottom, bas-reliefs depict the horrors that took place in the woods and rice fields surrounding the memorial. The victims commemorated by this memorial were held at a nearby temple which was seized by the Khmer Rouge and turned into a prison. An estimated 10,000 people were killed there, of the estimated 1.5-2 million deaths that occurred between 1975 and 1979. Reliquaries such as this, displaying the skulls and bones of victims that have been found, dot the country. These remains ask us to remember the atrocities committed. The bas-reliefs circling the bottom of the memorial are more unique. They illustrate in detail the particulars of different ways in which men, women, and children were tortured and killed. While the piles of remains show us the sheer numbers, these images bring home the horrors in vivid detail. The inscription on the memorial, with characteristically Cambodian optimism, reads, “The full extent of Cambodia’s tragedy will never be known. The remains of some of the victims of this genocide may never be recovered, nor their murderers identified. But the gentle and forgiving Khmer are energetic and optimistic people and will now walk confidently through the well of shadows to reclaim their ancient culture and restore this beautiful land to become again, the legendary paradise of celestial Apsaras.”  6 kilometres north of Battambang, on the east side of the Sangkar River"
