index,attraction,location,blurb,url,description,tags
0,Swayambhunath Monkey Temple,"Kathmandu, Nepal",Sacred Buddhist home of some spiritual monkeys.,https://www.atlasobscura.com/places/swayambhunath-monkey-temple-in-kathmandu,"This is a workout, wildlife excursion, and spiritual escape all wrapped into one. Be prepared to huff and puff your way up 365 steep steps to meet some furry friends at this Nepali Buddhist site. Located atop a hill west of Kathmandu city, the Swayambhunath complex has been in use since the 5th century and consists of a magnificent domed stupa, as well as a variety of shrines and temples. Each temple is extremely ornate and richly decorated with gold and vibrant prayer flags, though it’s not only the spiritual décor that draws visitors. This sacred pilgrimage site is also home to hundreds of monkeys considered holy to Tibetan Buddhists and Hindus. According to legend, Manjushree, the bodhisattva of wisdom, was in the process of raising the temple hill when the lice in his hair transformed into these monkeys. Swayambhunath means self-arisen and is derived from that legend. The story alone provides enough inspiration for visitors to struggle through the climb to the temple, and the sights at the summit are worth the trek. From the top of the hill, visitors can see a panorama of the Kathmandu valley, along with playful monkeys swinging from trees and prayer flags hanging around the colorful temple. Although the monkeys are somewhat active during the day, the stupa truly becomes a monkey temple at night when hundreds of monkeys frolic in the sacred area and even slide down the banister of the primary structure.  The temple is easily accessible by foot, bike, or taxi from Kathmandu.",monkeys temples sacred spaces animals
1,The Garden of Dreams,"Kathmandu, Nepal",This elegant neoclassical garden is a peaceful oasis in the middle of the Nepalese capital.,https://www.atlasobscura.com/places/the-garden-of-dreams,"The Garden of Dreams (Swapna Bagaicha) was the idyllic vision of Kaiser Sumsher Rana, a field marshal in the Royal Nepalese Army who ordered its creation on the grounds of his palatial home in 1920. Though the garden was severely neglected following his death in 1964, the exquisitely manicured landscapes and the surviving fountains, pergolas, and pavilions have since been restored to their former glory. The four-acre Garden of Dreams in Kathmandu was designed by landscape architect Kishore Narshingh to mimic Edwardian-era English gardens. Most notably, the site was characterized by six pavilions, which symbolized the “six seasons” of Nepal: spring, early summer, the summer monsoon season, early autumn, late autumn, and winter. In its heyday, the garden was considered one of the most remarkable feats of landscape design in the country. Today, visitors will only find three pavilions on just over an acre of land, but the 74,000 square-foot space remains a verdant attraction thanks to a restoration project spearheaded by the Austrian government and Nepal Ministry of Education. Through the garden’s original gates are picturesque fountains and ponds, an amphitheater, isolated gardens of varying sizes, and the Kaiser Café Restaurant & Bar. Meandering pathways are lined with hedges, plants, trees, and flowers from all over the world, complemented by charming stone urns and intricate benches that offer contemplative vistas. While the Garden of Dreams has been transformed into a public space, it remains a tranquil escape in the center of Kathmandu, and a popular hangout for sunbathers, wanderers, residents, and tourists alike.  The Garden of Dreams is open daily from 9 a.m. until 10 p.m. It's located in the Kaiser Mahal complex in the busy Thamel neighborhood of Kathmandu. Admission to the garden costs Rs. 400 per person for tourists and Rs. 100 for Nepali residents. Wifi is available throughout the garden for Rs. 50 an hour.",public landscapes gardens parks plants history
2,Boudhanath Stupa,"Kathmandu, Nepal",One of the largest Buddhist stupas in the world keeps an eye out in every direction.,https://www.atlasobscura.com/places/boudhanath-stupa,"For hundreds of years, the Boudhanath Stupa has stood as a beacon of Buddhist belief, towering over the surrounding town as a giant mandala of peace and beauty and also giant eyes. Built some time around the 14th century, the huge meditative monument is said to have been created just after the passing of the Buddha. The huge offering site quickly become an focal point of worship and offering in the area. The structure of the building consists of a giant dome, on the top which sits a Buddhist pyramid tower. All of this sits on top of huge steps shaped like mandalas themselves. Originally the stupa’s spot was on an important trade route which allowed for a steady stream of possible converts. Among the Nepalese in Kathmandu, the stupa is simply referred to as “Chorten Chenpo” which translates to “Great Tower” or just “Great Stupa.” No matter what pilgrims called it, they flocked to the monument in droves. Despite having existed for years, the site did not truly become the center of Tibetan Buddhism until the 1950s as refugees from China immigrated over to Katmandu. Temples and devotional sites began to spring up throughout the surrounding city and further far afield, strengthening the power and importance of the site immeasurably. While it is hard to determine their specific age, the base of the stupa tower is decorated with pairs of eyes on each of the cardinal directions representing the all-knowing nature of the Buddha. However, for those not fully indoctrinated into Buddhist belief, the building (while quite peaceful and beautiful) does seem to be peering down on visitors as they come to make offerings or just to see one of the more spectacular Buddhist sites in the world. The entrance is just basically a gate in a wall.",stupas buddhism architectural oddities architecture
3,Namche Bazaar,"Namche, Nepal",Last stop before the top of the highest peak in the world.,https://www.atlasobscura.com/places/namche-bazaar-nepal,"Most explorers deciding to tackle the dangers of Mount Everest ready their supplies in the bustling markets of Kathmandu before heading to the brutal ascent to the summit. However, even explorers and adventurers forget to pack things sometimes. In this eventuality, they can stop at the Namche Bazaar, the final major outpost of civilization before the desolate mountain climb begins in earnest. Built along the side of a Nepalese hill, the ramshackle settlement increased in size with the swell in demand for supplies and equipment that came with the deluge of explorers following in the footsteps of Sir Edmund Hillary’s successful Everest ascent. The marketplace village now includes such amenities as internet cafes, a currency exchange, locally-renowned bakeries, and even a small Irish pub. In addition to picking up any supplies, you might need before attempting to climb the world’s highest peak you can also make a stop at Namche’s Museum of Sherpa Culture to learn more about the history of the local people who might keep you alive on your journey. Limited by the geography of the area, Namche Bazaar contains no more than 60-some dwellings amidst the various business endeavors, but the village still manages to hold the distinction of being the wealthiest district in Nepal. If you find yourself making the trek to the top of Everest be sure to stop in the mercantile community and pamper yourself (sort of).",purveyors of curiosities shops
4,The Yeti Scalp of Khumjung,"Khumjung, Nepal",A Himalayan monastery claims to have a piece of a centuries-old abominable snowman.,https://www.atlasobscura.com/places/the-yeti-scalp-of-khumjung-khumjung-nepal,"A small village monastery in northeast Nepal claims to have a 300-year-old Yeti scalp, one carried by Sir Edmund Hillary across the globe for inspection by zoologists and other experts. Despite its purported provenance, it did not pass inspection. The half football-shaped scalp sits in a cabinet at the temple, or gomba, of the village called Khumjung, and for a few Nepalese rupees the monks will take out a small, glass-fronted box containing the scruffy-haired dome. But no matter how much the donation, the scalp stays in the padlocked box. The relic is purported by the village to have come from one of the “abominable snowmen” of Himalayan legend and was found by Hillary and journalist Desmond Doig in 1960 when they were on an expedition to look for evidence of the big-footed beast. They found the scalp in the home of old Khumjung woman, who said it was a good-luck charm for the village and was anxious about letting it leave. In order to avoid disaster befalling the village, Hillary agreed to a deal: If he made a donation to the monastery and a local school and took with him a guardian for the scalp from the gomba, they would let it leave and be examined. The scalp turned out to have been fashioned from the hide of an animal, most likely a goat-antelope native to the Himalayas. After its trip and reported debunking, it was returned safely to the monastery; you can read more about that, as well as the duplicate of the scalp at New York’s Explorer’s Club, here, then make up your own mind if they really exist or not. As Khumjo Chumbi, the monk who was charged with watching over the scalp on its round-the-world voyage, told the Guardian newspaper at the time, “We don’t believe in giraffes and lions in Nepal because there aren’t any there. Likewise, you don’t believe in yetis because you have none in your country.” Khumjung is in northeastern Nepal, about 85 miles east of Kathmandu (as the crow flies) and inside Sagarmatha National Park World Heritage Site, an uphill side-trip from the trekking route between Namche and Gorak Shep. When you reach the village, catch your breath and look for the monastery.",yeti exploration temples mountains legends
5,Kathmandu Durbar Square,"Kathmandu, Nepal",This historic square in Nepal is home to temples dating back to the third century.,https://www.atlasobscura.com/places/kathmandu-durbar-square,"Kathmandu Durbar Square, a UNESCO World Heritage Site, is one of three squares within Kathmandu Valley in Nepal. Durbar Square (durbar translates to “palace” or “a court held by a prince”) is an important site for Buddhist and Hindu rituals, holy ceremonies, royal events, and kingly coronations. Surrounded by fountains, ancient statues, small ponds, and a series of courtyards such as Mohan Chok and Sundari Chok, Kathmandu Durbar Square is a meditative, religious site for spiritual seekers. Within the inner complex of Durbar Square is the site of the Old Royal Palaces (referred to as the Hanuman Dhoka Palace Complex). The Royal Palaces used to house the kings of the Shah and Malla Dynasty, who ruled over the city until the 19th-century. The palaces have since been turned into museums. The outer complex consists of numerous pagoda-style temples featuring the meticulously carved facades crafted by Newar artists, some of which date back to the 16th-century. Under the direction of the Malla Kings, Durbar Square underwent a series of changes and new architectural additions. King Mahendra Malla (1560–1574) commissioned the construction of the oldest temples in Durbar Square. Built in the Newari architectural style, his contributions included the Jagannath Temple, Kotilingeshwara Mahadev (a stone temple of Lord Shiva), the Mahendreswara Temple, and the magnificent Taleju Temple (the largest and perhaps most important temple of them all). Although these date back to the 16th-century, it’s believed that construction for the square itself and the palaces began as early as the 3rd-century. Later, King Pratap Malla added more additions to the square, including shrines and new temples, and also restored many of the older temples. When he passed away in 1674, new constructions stopped, but picked up again during the Shah Dynasty. One of the most unusual sites built during the Shah Dynasty is the nine-storied structure called the Nautale, commonly referred to as Basantapur Durbar. Located at the east side of the palace, the structure has four roofs and was rumored to be a “pleasure house.” Other popular temples in the square include Mahadev Temple, Shiva Parvati Temple, Maru Ganesh, Bhagwati Temple, Saraswati temple, octagonal Krishna Temple, Jagannath Temple, and the Kal Bhairav (which represents the destructor form of Lord Shiva). Perhaps the most peculiar (and revered) sites at the southern edge of Kathmandu Durbar Square is the three-storied temple called Kumari Bahal. This Newari temple, built by the last Malla king Jayaprakash Malla, houses the Kumari Devi–a young girl chosen through a highly selective process and believed to be the living embodiment of the Hindu mother goddess. The Kumari Devi is paraded around the square in a custom-made gilded chariot during the festival of Indra Jatra and others, and worshipped by the people, who carefully watch her for specific signs that may allude to their fortune and fate. After a devastating earthquake-plagued the area in 2015, many of the ancient temples and historic pagoda-style structures were severely damaged. Kathmandu Durbar Square was designated a Unesco World Heritage Site in 1979, and continues to undergo considerable post-earthquake renovations and reconstruction efforts.  Foreign nationals can enter Kathmandu Durbar Square for NPR. 1000.",
6,Bhaktapur Durbar Square,"Bhaktapur, Nepal",The former stronghold of the Malla Dynasty has remained virtually unchanged since the 17th-century.,https://www.atlasobscura.com/places/bhaktapur-durbar-square,"Bhaktapur (also called Bhadgaon or Khwopa) lies in the eastern portion of Kathmandu Valley. At the heart of this ancient city is Bhaktapur Durbar Square. Many of the smaller streets around the city converge onto this square where the royal palace of the Bhaktapur Kingdom was located. The monuments and temples around the site represent the history and traditions of medieval Nepal. Everything around Bhaktapur still looks as it did during its medieval heyday. In fact, Bhaktapur is among the most intact ancient cities in Nepal. It was also given the distinction of being listed as a UNESCO world heritage site.",unesco ancient
7,The Toothache Tree,"Kathmandu, Nepal",Nailing a coin to this holy stump is just another way to ask the gods for relief from dental pain.,https://www.atlasobscura.com/places/the-toothache-tree-kathmandu-nepal,"The gnarled hunk of wood known as Vaisha Dev, or the Toothache Tree, sits at an unassuming chowk (intersection) just past Thahiti Tole, but visitors could be forgiven for not realizing that it is a tree stump since locals making an offering to the god of sore teeth have covered it in nailed on coins. Said to be a cutting from a legendary tree known as Bangemudha, the chunk of wood that has been put in place smack in the heart of Kathmandu’s dental district, which is home to a concentration of orthodontists’ offices, acts as a sort of wishing well. People with toothaches or other dental ailments visit the site and nail coin to the tree as an offering to Vaishya Dev, the Newar god of the toothache. Supposedly there is a teeny tiny little idol inside of the main hole of the tooth god’s shrine, although the coins nailed on every part of the log obscure any view into the burl. In fact, the log is so covered that none of the actual wood is visible anymore either. The superstitious site is as attractive to worshippers as it is to the dental professionals all around it. As people with tooth problems come to visit the shrine the hope is that they will be lured in by one of the brightly-colored signs advertising the dentists in the area. Orthodontists know an opportunity when they see one (generally in the mouths of candy-crushing twelve-year-olds).",shrines
8,Annapurna,"Khangsar, Nepal","Named after the Goddess of Harvests, Annapurna is the deadliest member of the Eight-thousanders club.",https://www.atlasobscura.com/places/eight-thousander-mountain-annapurna,"There are 14 independent peaks that make up the “Eight-thousanders”, an elite group of mountains that tower more than 8,000 meters (26,247 ft) above sea level, all of which lie in the Himalayan and Karakoram ranges in Asia. The most popular of these mountains, Mount Everest, has taken the life of many a brave or foolhardy explorer, but there is another Eight-thousander that makes Everest look like a kiddie ride. Her name is Annapurna. Since the first recorded ill-fated expedition of Albert F. Mummery and J. Norman Collie in 1895, men and women have been compelled to conquer these peaks, and ironically the first successful ascent was located on Annapurna by famed adventurers Maurice Herzog and Louis Lachenal in 1950. The expedition was successful, but not without a heavy cost – Herzog lost the majority of his fingers and toes to frostbite, and to stave off gangrene had to perform amputations on the mountain, sans anesthetic. No one dared to climb Annapurna again for 20 years. Annapurna is not the tallest mountain – in fact, it’s 10th tallest on the list of the 14. Yet it currently has a fatality-to-summit ratio of 38% which, though recently improved from 40%, is still the highest fatality rate of any of the Eight-thousanders. Why it claims so many lives is uncertain, although the glacial architecture and the illusions it produces have been cited as examples of its treachery. Whatever the reason, this quiet giant with the difficult south slope has called over 200 explorers to her snowy cliffs, and decided to keep over 50 of them as her own.",dead explorers geological oddities natural wonders geology nature
9,Rinchenling Gompa,"Muchu, Nepal",This remote Himalayan temple is in danger of being completely washed away by a melting glacier.,https://www.atlasobscura.com/places/rinchenling-gompa,"Jettisoned straight out of Middle Earth and onto our planet, the Rinchenling Gompa is quite an otherworldly place. Located on the banks of a small tributary of the Limi River, the Halji Gompa is undoubtedly one of the highest temples in the world (approximately 3,600 meters). Adding to the Gompa’s ethereal qualities is its setting: Limi Valley, one of the most remote, and starkly beautiful regions of Himalayan Nepal. The Rinchenling Gompa sits inside Halji Village, one of three small communities within Limi Valley. Access to electricity and warmth are difficult here. Small solar panels, along with a miniature hydro-electric plant provide light only during specified hours of the night. Warmth is provided by burning cow dung in hearths in each of the homes. It’s that remote. Because Limi Valley is right up against the border with Tibet, the Tibetan language is spoken and Tibetan religious customs are practiced in lieu of more Nepali traditions. The Rinchenling Gompa was said to be founded by Rinchen Zangpo (958-1055), an early translator of Buddhist texts into the Tibetan language. Rinchen Zangpo was one of the fathers of the “Second Dissemination” in which Buddhism was reintroduced to Tibet by leading scholars around the beginning of the 11th century. He is said to have established over 108 temples in his lifetime alone. While it is hard to gauge the veracity of these claims, recent C-14 dating of the Vairocana statue inside the temple point to a range in the early 11th century, well within Rinchen Zangpo’s lifetime. In recent years, the Rinchenling Gompa has been threatened by flooding. In 2011, a glacial lake high above Halji Village burst, resulting in a flood that caused significant damage to many structures in Halji Village. Though no one was harmed during the flooding, the risk presented is severe. Without adequate restoration and protection, the Rinchenling Gompa is extremely susceptible to flood damages. A more serious flood could completely wash away over 1,000 years of history. International conservation organizations are starting to take notice, however, so there is some hope that the Gompa will receive the protection it deserves.  Physical fitness and experience traveling in developing countries are critical to accessing Rinchenling Gompa. It is roughly a six day walk from the nearest airstrip in Simikot over highly exposed trails. Accommodations are either the Halji Village guesthouse, or camping facilities.",glaciers temples
