index,attraction,location,blurb,url,description,tags
0,Topi of Boma National Park,South Sudan,"Every October, one of the largest migration of mammals in the world thunders through Boma National Park.",https://www.atlasobscura.com/places/topi-antelope-boma-national-park,"Every fall the plains of South Sudan, normally pale yellow and brown, turn a vibrant viridescent shade. This explosion of greenery helps spur on one of the largest mammal migration in the world. Every October, at least a million antelope thunder across the plains towards the vast lowlands around the White Nile. An estimated 125,000 of the migration’s participants are the spectacularly weird topi. With an estimated 300,000 spread throughout sub-Saharan Africa, the topi migrating through South Sudan number a little less than half the entire population. These medium-sized antelopes are a deep, burnish brown with black splashes across their foreheads, thighs, and hips. They also sport light tan “socks” allowing their legs to blend into the tall grassy plains they call home. Topi are an extroverted species that have been known to socialize with animals beyond their own species, like wildebeests, zebras, and even ostriches. They are notoriously picky eaters: the topi only graze on grass and can go without water for long periods, so long as the grass is fresh and well-hydrated. Perhaps weirdest of all, female topis can actually delay birth if they sense they’re in danger. The Sudd wetland, through which the topi migrate every year, is currently on the tentative list of UNESCO World Heritage Sites in South Sudan. It’s a move that has brought more attention to the region and its animals as South Sudan’s bloody seven-year civil war came to a close in 2018. However, there are real concerns around the rise in poaching, the unregulated extraction of natural resources, and human encroachment in the Sudd. While the civil war ended in 2018, violence between armed communities has continued in South Sudan over land disputes and post-war grievances straining conservation efforts in the region. Throughout all the violence though, the topi migration has continued undeterred. Paul Elkan, head of the Wildlife Conservation Society’s South Sudan program, said in an interview, “the country’s wildlife is one of those special features of South Sudan which still arouses some hope.”",The migration occurs every October following South Sudan’s rainy season.
1,Sudd Wetland,South Sudan,The inhabitants of the world’s largest wetland have learned to navigate its dramatic seasonal changes.,https://www.atlasobscura.com/places/sudd-wetland-south-sudan,"South Sudan’s Sudd Wetland, also known as Al-Sudd, is one of the world’s largest wetlands, covering more than 35,000 square miles in the north-central part of the country. The White Nile, its many tributaries, and seasonal rainfall sustain the vast wetland. Currently being considered as a UNESCO World Heritage Site, the Sudd is home to a vast array of flora and fauna, including endangered African elephants, an endangered antelope known as the Nile lechwe, and the critically endangered (and highly photogenic) shoebill. The Sudd is also the site of a huge antelope migration every October, including the spectacularly weird Topi. Approximately 1 million people live in the Sudd Wetland, many of whom come from Indigenous tribes that have inhabited the area for thousands of years. There are the Nuer and Dinka, two pastoralist peoples that make up the largest ethnic groups in South Sudan. Raising cattle is the primary livelihood for both of these groups, and many social rituals incorporate the animals. Husbands-to-be give cattle to family members of the bride, and Nuer priests often settle feuds through the exchange of cattle. In a centuries-old ritual, Dinka boys transition into manhood when they stop milking cows. Another group, the Shilluk, are primarily sedentary farmers. According to tradition, the physical and spiritual well-being of their chosen leader was tied to the overall prosperity of the land. The Anuak people are also farmers and maintain herds of cattle, sheep, and goats. Like many others, they also fish in the wetlands and set up seasonal fishing villages. The Neur, Dinka, Shilluk, and Anuak have all adapted to the seasonal changes of the Sudd. The Sudd’s dry season, between December to February, often sees nomadic communities move deeper into the wetland to graze their herds and hunt the Sudd’s plentiful fish. Communities, especially the Dinka, will build seasonal, circular homes on naturally-occurring islands in the wetland during the dry season. During the Sudd’s wet season, between March to August, many move back out of the Sudd to settlements near water deposits in the savanna. After gaining independence from Sudan in 2011, South Sudan descended into a violent civil war. During the peak of the fighting, the United Nations estimates that 65,000 to 100,000 people escaped into the Sudd, reported National Geographic. For centuries the Sudd, which literally translates to “barrier,” has been a sanctuary for people fleeing violence, slavery, and oppression. But the recent influx of so many people has meant more competition for resources in the Sudd. Foreign oil companies have also secured contracts to mine the Sudd’s naturally-occurring oil deposits, posing yet another risk to the wetland. Initial oil surveying has already polluted the delicate ecosystem. Many hope that if the Sudd does become a UNESCO World Heritage Site, the international status would protect one of South Sudan’s most precious natural wonders.",Most of these communities are extremely private and are not visited by outsiders.
2,Meroe Pyramids,"Shendi, Sudan","These Nubian pyramids are strange and unique, even by pyramid standards.",https://www.atlasobscura.com/places/meroe-pyramids,"Slowly being reclaimed by the sands of time (literally), the pyramids of Meroë hold the fragile footprints of a mysterious and long-forgotten civilization in Sudan. Meroë was an ancient city in the Kushite Kingdom, and the sheer number of its still-standing pyramids indicate that it was a massive city, once bustling with traders and everyday inhabitants. (And, most obviously, a booming tradition of masonry.) Archaeologists have identified that the numerous pyramid structures are very clearly in the Nubian style. The structures’ sharp angles and relatively narrow footprints carry all the hallmarks of the former Kushite Kingdom, meaning Meroë was a pinnacle location in one of history’s greatest and least-understood civilizations. The kingdom stretched throughout this region in ancient times. But now, little more than the dusty pyramids standing solemnly in the desert remain of the city and, by proxy, of the Kushites it belonged to. But with more than 200 of them to mark the location, they are quite enough to astound visitors and historians alike.",
3,Suakin Island Ruins,"Suakin, Sudan",Remains of an abandoned coral city.,https://www.atlasobscura.com/places/suakin,"For 3000 years, the port on the island of Suakin was strategically crucial to powerful empires. Located on the Red Sea in Northern Sudan, the former port of Suakin is now a crumbled relic of the wealth that passed through its coral walls from around the world. Ramses III initially developed the port of Suakin during the 10th century B.C.E. At the time, Suakin offered an outlet to the Red Sea for trade and exploration. 1000 years later, as Islam gained followers and spread from the Hijaz region of modern day Saudi Arabia, the port took on new importance and became an outlet for Africans on pilgrimage to Mecca. While Suakin constantly evolved, it remained prosperous throughout its existence, bringing great riches to the shores of Sudan. Local legend tells of a king who operated out of the old city and had 360 wives and lavish quarters in the old city. Stemming from its great wealth, Suakin developed into a rich, gated island port. Every building was made out of stunning coral and the walls were decorated in detailed wood and stone coverings. Suakin was the height of medieval luxury on the Red Sea. During the 19th century, Suakin evolved for the last time, becoming a hub for the slave trade from Eastern Africa. As the slave trade diminished, the port became increasingly unnecessary. By the 1920s, Suakin was falling into complete disrepair. Shallow waters and rough coral had pushed most trade North to Port Sudan and the coral buildings that were once the crown jewel of the port were not maintained and disintegrating. Only ruins of the once great coral city still exist and are carefully guarded as part of the tourism industry. Besides being a tourist destination, the port still serves ferries to the Saudi coast and provides access between the continents for thousands of pilgrims completing the Haj every year.",Accessible by mini-bus from the modern port
4,Précontinent II,Sudan,"All that remains of Jacques Cousteau's 1960s underwater ""village.""",https://www.atlasobscura.com/places/precontinent-ii,"Précontinent II is the last visible reminder of a series of three French underwater habitats built between 1962 and 1965. Developed by the world-famous oceanography pioneer Jacques-Yves Cousteau, the underwater “village” was supposed to be proof that it’s possible for humans to live underwater without interruption for extended periods of time, at increasing depths. The habitats were also built to explore the underwater world and conduct research for the petrol industry which financed the project. The project was named précontinent for the French word for continental shelf, the edges of a continent that are covered by ocean. Précontinent I was the word’s first underwater habitat, located in the Balearic Sea off coast from Marseille. It was completed in September 1962, two years before the American Sealab project. Two aquanauts, Albert Falco and Claude Wesly, lived in the habitat, a five-meter steel cylinder known as “Diogenes.” The habitat was fixed 11 meters under the surface of the water and fed with compressed air. Hot water came through a plastic pipe from a ship, and food in waterproofed containers. Other  “furnishings” included infrared lamps used as heaters, a record player, a radio, three telephones, a video surveillance system, a library, a TV and a bed. In the bottom of the habitat was an airlock, which allowed the two men to exit into the ocean, where they built compounds for fish and studied their behavior, and took measurements for topographical underwater maps. A year later, Précontinent II was launched about 35 km northeast, near the Sha’ab Rumi (Arabian for “Roman Reef”), off the coast of Port Sudan. The so-called Starfish House lasted for four weeks, housing a group of oceanographers as well as Madame Cousteau and the parrot Claude, who was supposed to warn the aquanauts of possible danger in the air. A second Précontinent II habitat, the “Deep Cabin”—a smaller version of the one used in Précontinent I—was installed even deeper into the sea, at 27 meters under the surface. Other structures were built including a tool shed and an air-filled hangar containing the Hydrojet Saucer DS-2, a small submarine for two people, which was equipped with three movable outside lamps, two cameras, a radio, a tape recorder and a movable grappler. The mission was to observe and collect fish and other organisms for exhibition and studies at the Oceanographic Museum in Monaco. Jacques-Yves Cousteau also wanted to prove that it would be more practical to anchor offshore drilling rigs at the bottom of the ocean than to place them above water, as well as prove the existence of a richness of minerals around continental shelfs. Précontinent III was supposed to start on September 17, 1965. This time the habitat was a dome constructed on a platform, with much-improved technology, and housed several aquanauts including Jacques-Yves Cousteau. However, the launch hit a snag. The habitat had already been brought to the diving place, sealed and put under pressure when the weather turned bad. It was brought back to the harbor where the aquanauts stayed in the habitat and under pressure, waited for the weather to change. Four days later the project was launched in earnest and the habitat anchored 100 meters below the surface, off the coast of Monaco near the Cap Ferrat lighthouse. The project lasted 22 days and its mission was mainly related to oil production—for example, how to assemble a drill head under water. This was the last mission of the Précontinent series, even though six missions in total were planned. Jacques-Yves Cousteau changed his mind and decided he didn’t want to be a part of research for the petrol industry anymore. Instead he dedicated his career to the exploration and protection of the world’s oceans from then on. From the three Précontinent missions only part of Précontinent II remains underwater, and has become the site of many diving tours from Sudan and Egypt. At the anchor place of the habitat you can find the remains of the tool shed, crusted with coral growth, and the fish cages, covered with sponges. A few meters deeper are the shark cages, covered with coral and crustacean, and the hangar, which still stands anchored in the bottom of the ocean, still filled with air and possible to enter.",Diving tours can be booked through various sites on the internet.
5,Jebel Barkal,"Marawi, Sudan",Crumbling pyramids and temple ruins stand within the shadow of this sacred butte.,https://www.atlasobscura.com/places/jebel-barkal,"Weathered pyramids spike upward amid sweeping stretches of golden desert sand. They stand in the shadow of Jebel Barkal, a small butte that was considered sacred thousands of years ago. The Egyptians, then later the Kushites, transformed the 322-foot-tall sandstone monolith into a trove of architectural treasures. Roughly a dozen pyramids are scattered around the base of the mountain, as are the ruins of temples, statues, and hieroglyphics. One of the temples was dedicated to the god Amun, who was believed to live atop the butte. The Egyptian Pharaoh Thutmose III first extended his empire to include Jebel Barkal around 1450 BC. Later pharaohs and Kush rulers oversaw the construction of the many pyramids that still stand around the landmark. The Kushites restored the neglected temples and continued building more structures around the base of the butte. But in the many centuries since the Kushites ruled the land, the stately pyramids have fallen into disrepair. The temples are little more than fragmented ruins, partially buried beneath the sand. The structures at Jebel Barkal are among the many pyramids that dot the Sudanese landscape, as the country has more than twice the amount of pyramids as Egypt. However, many of these sites are far off the typical tourist track, meaning those who take a trip to Sudan will likely have these monuments all to themselves.",The pyramids of Jebel Barkal are within walking distance from Karima city center.
6,Sheikh Hamad-al Nil Tomb,"Omdurman, Sudan","Every Friday, Sufi dervishes whirl around the tomb in a trance-like state as part of a sacred ritual called dhikr.",https://www.atlasobscura.com/places/sheikh-hamadal-nil-tomb,"Every Friday evening, Sufi dervishes perform a ritual called dhikr at the tomb of Sheikh Hamad-al Nil, a 19th-century Sufi leader. The devotees dance and work themselves into a frenzy while reciting Allah’s name, helping to create a state of ecstatic abandon that supposedly allows their hearts to communicate directly with God. The ceremony begins when the dervishes make their entrance to the cemetery dressed in colorful patchwork robes with bright beads draped around their necks. They then proceed to a patch of cleared ground in front of the mosque while banging drums and chanting while a man attempts to enforce the perimeter boundary. Although he carries a large club, he still struggles to maintain order as the crowd is, by now, wild with excitement. Fights break out among the more belligerent adherents who appear to taunt each other (quickly dealt with by the club-wielding man). Wild-eyed priests dance around the perimeter and blow incense into the faces peering out from the mass of spectators. The proceedings become more electric as the evening wears on. The rhythmic chants of “La Illaha Illallah” (there is no god but Allah) become hypnotic. Every so often a devotee breaks off from the main group, spinning in a blur of arms and legs. With eyes rolling, the dancer seems to enter into a trance-like state before collapsing onto the ground. The ceremony begins around 4:30. Visitors are treated with respect despite the fighting and theatrical bad tempers among devotees. It’s hard not to be swept along with the ritual. When it ends, you almost feel as if you’ve suddenly snapped out of your own trance.",It is better to have a local guide to help experience this ceremony. They know the best place to be positioned to get a good view and can match the belligerence of the locals to get you there (in a way which would probably best not be attempted by a tourist!).
7,Western Deffufa of Kerma,"Kerma Albeled, Sudan",The best-preserved example of a unique structure in Nubian architecture.,https://www.atlasobscura.com/places/western-deffufa-kerma,"The word defuffa is thought to derive from either the Nubian word for a mud-brick building or the Arabic word daffa, meaning “pile.” There are only three deffufa remaining in the world, all of which are located at the former site of the Nubian Kingdom of Kerma, which existed between 2500 and 1500 B.C. The remains of the walled city of Kerma is one of the largest archaeological sites in ancient Nubia. Archaeologists have identified a system of roads and well-differentiated neighborhoods. It is likely that this metropolis was reserved for members of the royal elite and the ruling class. Though Nubian rulers maintained the kingdom’s independence for nearly a thousand years, the kingdom of Kerma ended around 1450 B.C. with the conquest of Kush by Egypt. Even today, the Western Deffufa dominates the ruins of Kerma. It measures 18 meters (59 feet) tall, with columned rooms, passageways, paintings, and a shrine. It is the best-preserved example of this structure in Nubian architecture. The deffufa once functioned as a temple and the religious center of the city. It has multiple levels, with an interior staircase connecting the floors and leading up to a rooftop platform. Additional chambers underground were accessible through galleries. Evidence of a limestone altar, built for animal sacrifice, was also found. Though the precise functions of the deffufa are not fully known, it is believed they were connected to religious and burial practices. About two kilometers (1.2 miles) away lie the remains of the Eastern Deffufa, which is believed to be a funerary chapel and burial ground. Excavations at Kerma started with an Egyptian and Sudanese survey made by American archaeologist George A. Reisner in the early 20th century. Following up on that work, Swiss archaeologist Charles Bonnet led a series of excavations at the site from 1977 to 2003. It was this work that helped uncover evidence of Kerma as a large, independent urban settlement, rather than an Egyptian satellite as initially thought.",Kerma is located in central Sudan and is easily reached by public transport from either Khartoum or Karima.
8,Church Pillars of Sai Island,"Wadi Halfa, Sudan",These pillars are one of the few remnants from the mysterious lost empire of Makuria.,https://www.atlasobscura.com/places/sai-island,"Sai Island is a tiny island in the Nile stretching just five kilometers across and 12 kilometers long, but it contains ruins spanning thousands of years and several empires. Though Sudan is now primarily an Islamic country, a medieval Christian empire known as Makuria flourished in Sudan between the 7th and 14th centuries. Despite the length of its existence, there are still many unanswered questions about Makuria and its people. Sai Island was once a bishop’s see (residence). The last remnants of the church of Sai Island can be seen as a few lonely pillars surrounded by pottery and masonry remnants. Old Dongola, to the south of Sai Island, is the only other archaeological site surviving from the Makurian empire. Sadly, when Lake Nasser was created much of what was northern Makuria was flooded including one of its main religious centers, the site of the Cathedral of Faras. There are other ruins on Sai Island, including the foundations of an Egyptian town and temple that date back to 1500 B.C., with the ruins of an Ottoman fort built on the site of the town. There are also Islamic cemeteries on the island with their characteristic dome-shaped tombs.","Sai Island is about four kilometers south of the town of Abri. Opposite the northern tip of the island from the banks of the Nile, a ferry operates to and from Sai Island. There is a fee for visiting the island which is generally payable in U.S. currency. Be aware that there is no set place to pay, and therefore it is reliant on the official making contact with you during your trip."
9,Battle of Abu Klea Memorial,"Al Matammah, Sudan",A remote monument to one of the fiercest battles fought by the Victorian British Army.,https://www.atlasobscura.com/places/battle-of-abu-klea-memorial,"Far out in the Bayuda desert, seven hours’ drive north of Khartoum, lies an almost forgotten memorial to a very famous battle, Abu Klea. On the 17th of January, 1885, a British column of approximately 1,400 men on its way to relieve the besieged General Gordon in Khartoum was attacked by 13,000 Mahdist forces. Even though the action didn’t last that long (about 15 minutes), Abu Klea has become infamous as one of the hardest battles ever fought by the British Army. In that brief period, extreme violence occurred that turned “the sand of the desert sodden red” with the blood of over 1,000 Dervish and 81 British troops killed. It was also one of the few occasions a British square had been broken by “native” troops, as immortalized in Rudyard Kipling’s poem “Fuzzy Wuzzy.” A memorial stone erected shortly after the battle names the British dead and marks the spot where the front left of the square was approximately positioned. The battle site is in a remote area not easily reached and therefore rarely visited, but for those who make the journey little has changed in 132 years. A lunar landscape added to the ferocious heat and stinging wind make for a hostile environment, walking on the ironstone surface makes matters even jollier as electric shocks are created with virtually anything subsequently touched. It really doesn’t take much imagination to picture the fierce fighting which took place there under such harsh conditions. Graves of British soldiers dot the surrounding area; they are marked with stones and their bones are, according to local tribesmen, occasionally uncovered due to the relentless wind. Those same locals appear to treat the site with a wary respect and claim the place is visited by spirits of the dead. If there was one truly haunted place on Earth then surely there could not be many better contenders than this.","The only practical way to reach Abu Klea is with the help of local people, it is mostly off-road driving across the Bayuda desert and involves at least a one night stay in a local village, there is no village close to the site itself. Travel Agents in Khartoum are willing to arrange the trip for a reasonable sum, including an overnight village stay. Be prepared for most of the village residents deciding to come along for the ride as “advisors”!"
